uk_region,postcode,latitude,longitude,region,population,energy (kcal),delta (kcal),% fat,% carbohydrate,% protein
North East England,SR3,54.87747,-1.41549,Sunderland,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
North East England,SR4,54.90088,-1.42451,Sunderland,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
North East England,SR5,54.92334,-1.42419,Sunderland,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
North East England,SR6,54.9348,-1.37876,Sunderland,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
North East England,SR7,54.83046,-1.36168,County Durham,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
North East England,SR8,54.7665,-1.33471,County Durham,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
North East England,SR9,54.90243,-1.37458,Sunderland,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
East of England,SS0,51.54602,0.69146,Southend-on-Sea,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS1,51.53697,0.73275,Southend-on-Sea,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS11,51.6151,0.53807,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS12,51.60556,0.52164,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS13,51.57433,0.50981,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS14,51.57507,0.47521,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS15,51.57687,0.432,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS16,51.56201,0.4543,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS17,51.52093,0.44055,Thurrock,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS2,51.54991,0.71766,Southend-on-Sea,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS3,51.54276,0.79224,Southend-on-Sea,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS4,51.59406,0.71452,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS5,51.60722,0.6503,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS6,51.58746,0.60872,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS7,51.56202,0.57984,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS8,51.5222,0.59057,Essex,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
East of England,SS9,51.55409,0.65298,Southend-on-Sea,6269161,1958.47463,291.52537,39.0685367,46.48460291,14.33153126
West Midlands,ST1,53.02616,-2.17148,Stoke-on-Trent,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST10,52.98942,-1.96275,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST11,52.96693,-2.06552,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
